"ResponseID"	"Age"	"Gender"	"NativeLang"	"NativeLangEng"	"SecondLang"	"ExperimentDuration"	"expName"	"distribution"	"distributionC"	"visualCue"	"visualCueC"	"trialList"	"memList"	"trialKind"	"trialID"	"trialOrder"	"orderByTargetRole"	"orderByTargetRoleC"	"label"	"labelRole"	"exemplar"	"exemplarRole"	"target"	"targetRole"	"distracter1"	"distracter1Role"	"distracter2"	"distracter2Role"	"distracter3"	"distracter3Role"	"pairKind"	"cooccurPairType"	"memAccExemplarTrial"	"memAccExemplarTrialC"	"offset.25"	"offset.33"	"response"	"responseRole"	"isRight"
"R_007NhVz1Ernqs4d"	19	1	"English"	1	""	12	"exp3_skewed"	"skewed"	0.5	"noVisual"	-0.5	"trialList_list1"	"MemTrials_constrain_2_List1"	"test"	1	1	1	-2.5	NA	NA	"object_4"	7	"object_2"	8	"object_8"	1	"object_12"	3	NA	NA	4	"moderate"	NA	NA	0.25	0.333333333333333	3	3	0
"R_007NhVz1Ernqs4d"	19	1	"English"	1	""	12	"exp3_skewed"	"skewed"	0.5	"noVisual"	-0.5	"trialList_list1"	"MemTrials_constrain_2_List1"	"test"	2	2	1	-2.5	NA	NA	"object_1"	5	"object_3"	6	"object_4"	7	"object_8"	1	NA	NA	3	"moderate"	NA	NA	0.25	0.333333333333333	3	1	0
"R_007NhVz1Ernqs4d"	19	1	"English"	1	""	12	"exp3_skewed"	"skewed"	0.5	"noVisual"	-0.5	"trialList_list1"	"MemTrials_constrain_2_List1"	"test"	3	3	1	-2.5	NA	NA	"object_8"	1	"object_6"	2	"object_12"	3	"object_1"	5	NA	NA	1	"high"	NA	NA	0.25	0.333333333333333	3	5	0
"R_007NhVz1Ernqs4d"	19	1	"English"	1	""	12	"exp3_skewed"	"skewed"	0.5	"noVisual"	-0.5	"trialList_list1"	"MemTrials_constrain_2_List1"	"test"	4	4	1	-2.5	NA	NA	"object_9"	4	"object_12"	3	"object_3"	6	"object_2"	8	NA	NA	2	"high"	NA	NA	0.25	0.333333333333333	2	6	0
"R_007NhVz1Ernqs4d"	19	1	"English"	1	""	12	"exp3_skewed"	"skewed"	0.5	"noVisual"	-0.5	"trialList_list1"	"MemTrials_constrain_2_List1"	"test"	5	5	1	-2.5	NA	NA	"object_2"	8	"object_4"	7	"object_6"	2	"object_9"	4	NA	NA	4	"moderate"	NA	NA	0.25	0.333333333333333	2	2	0
"R_007NhVz1Ernqs4d"	19	1	"English"	1	""	12	"exp3_skewed"	"skewed"	0.5	"noVisual"	-0.5	"trialList_list1"	"MemTrials_constrain_2_List1"	"test"	6	6	1	-2.5	NA	NA	"object_6"	2	"object_8"	1	"object_9"	4	"object_3"	6	NA	NA	1	"high"	NA	NA	0.25	0.333333333333333	3	6	0
"R_007NhVz1Ernqs4d"	19	1	"English"	1	""	12	"exp3_skewed"	"skewed"	0.5	"noVisual"	-0.5	"trialList_list1"	"MemTrials_constrain_2_List1"	"test"	7	7	1	-2.5	NA	NA	"object_12"	3	"object_9"	4	"object_1"	5	"object_4"	7	NA	NA	2	"high"	NA	NA	0.25	0.333333333333333	2	5	0
"R_007NhVz1Ernqs4d"	19	1	"English"	1	""	12	"exp3_skewed"	"skewed"	0.5	"noVisual"	-0.5	"trialList_list1"	"MemTrials_constrain_2_List1"	"test"	8	8	1	-2.5	NA	NA	"object_3"	6	"object_1"	5	"object_2"	8	"object_6"	2	NA	NA	3	"moderate"	NA	NA	0.25	0.333333333333333	1	5	1
"R_007NhVz1Ernqs4d"	19	1	"English"	1	""	12	"exp3_skewed"	"skewed"	0.5	"noVisual"	-0.5	"trialList_list1"	"MemTrials_constrain_2_List1"	"training"	1	16	2	-1.5	"vima"	"A"	NA	NA	"object_8"	1	"object_6"	2	"object_1"	5	"object_3"	6	1	"high"	0	-0.5	0.25	0.333333333333333	1	1	1
"R_007NhVz1Ernqs4d"	19	1	"English"	1	""	12	"exp3_skewed"	"skewed"	0.5	"noVisual"	-0.5	"trialList_list1"	"MemTrials_constrain_2_List1"	"training"	2	46	5	1.5	"blick"	"B"	NA	NA	"object_6"	2	"object_8"	1	"object_12"	3	"object_9"	4	1	"high"	0	-0.5	0.25	0.333333333333333	3	3	0
